LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/19 (Wednesday) ,13:17:52,BASIC COUNTS,0.33,0.49,0.67,0.82,0.88,0.91,0.91,0.91,0.91,0.91,RAW VALUES,23825,35009,48057,59287,63582,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:17:54,BASIC COUNTS,0.33,0.49,0.67,0.83,0.89,0.91,0.91,0.91,0.91,0.91,RAW VALUES,24035,35317,48494,59836,64165,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:17:56,BASIC COUNTS,0.34,0.49,0.68,0.83,0.89,0.91,0.91,0.91,0.91,0.91,RAW VALUES,24099,35427,48642,60011,64198,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:17:57,BASIC COUNTS,0.33,0.49,0.67,0.83,0.89,0.91,0.91,0.91,0.91,0.91,RAW VALUES,23927,35209,48318,59581,63722,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:17:59,BASIC COUNTS,0.33,0.49,0.67,0.82,0.88,0.91,0.91,0.91,0.91,0.91,RAW VALUES,23789,34976,47980,59164,63311,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:00,BASIC COUNTS,0.33,0.49,0.67,0.83,0.89,0.91,0.91,0.91,0.91,0.91,RAW VALUES,23875,35120,48184,59425,63723,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:02,BASIC COUNTS,0.34,0.49,0.68,0.83,0.89,0.91,0.91,0.91,0.91,0.91,RAW VALUES,24085,35408,48588,59917,64330,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:04,BASIC COUNTS,0.34,0.5,0.68,0.84,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,24367,35830,49171,60673,65178,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:05,BASIC COUNTS,0.34,0.5,0.69,0.85,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,24613,36202,49678,61326,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:07,BASIC COUNTS,0.35,0.51,0.7,0.86,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,24822,36506,50123,61884,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:09,BASIC COUNTS,0.35,0.51,0.7,0.87,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,24996,36735,50499,62285,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:10,BASIC COUNTS,0.35,0.51,0.7,0.87,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25129,36927,50609,62619,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:12,BASIC COUNTS,0.35,0.52,0.71,0.88,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25252,37122,50961,62987,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:14,BASIC COUNTS,0.35,0.52,0.71,0.88,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25334,37269,51165,63251,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:15,BASIC COUNTS,0.35,0.52,0.71,0.88,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25403,37369,51320,63429,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:17,BASIC COUNTS,0.35,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25496,37494,51467,63623,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:19,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25568,37575,51608,63795,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:20,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25607,37661,51724,63915,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:22,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25655,37698,51783,64034,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:24,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25685,37768,51856,64141,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:25,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25674,37746,51844,64129,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:27,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25529,37530,51564,63790,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:29,BASIC COUNTS,0.35,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25471,37421,51413,63619,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:30,BASIC COUNTS,0.35,0.52,0.71,0.88,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25444,37375,51356,63569,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:32,BASIC COUNTS,0.35,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25509,37507,51543,63789,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:33,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25550,37561,51608,63930,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:35,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25546,37529,51632,63915,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:18:37,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25661,37695,51829,64206,65535,65535,65535,65535,65535,65535,LED OFF
