LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/21 (Friday) ,12:15:38,BASIC COUNTS,0.42,0.62,0.86,1.05,1.12,1.25,1.66,1.65,6.6,1.83,RAW VALUES,167,247,343,422,447,502,665,659,2644,733,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:39,BASIC COUNTS,0.42,0.62,0.86,1.06,1.12,1.26,1.66,1.65,6.62,1.84,RAW VALUES,167,247,343,423,448,503,666,661,2650,735,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:41,BASIC COUNTS,0.41,0.61,0.85,1.05,1.11,1.25,1.65,1.64,6.58,1.83,RAW VALUES,166,246,342,421,446,500,662,657,2635,731,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:42,BASIC COUNTS,0.41,0.61,0.84,1.04,1.1,1.23,1.64,1.62,6.5,1.8,RAW VALUES,165,245,338,417,441,494,655,649,2604,722,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:43,BASIC COUNTS,0.41,0.6,0.84,1.03,1.09,1.22,1.62,1.61,6.44,1.79,RAW VALUES,163,241,335,413,436,489,648,643,2578,715,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:45,BASIC COUNTS,0.41,0.6,0.84,1.03,1.09,1.23,1.63,1.61,6.47,1.79,RAW VALUES,163,242,335,413,438,491,651,646,2590,718,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:46,BASIC COUNTS,0.41,0.61,0.85,1.04,1.11,1.24,1.65,1.63,6.55,1.82,RAW VALUES,165,244,339,418,443,497,659,654,2621,727,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:47,BASIC COUNTS,0.41,0.61,0.85,1.05,1.11,1.24,1.65,1.64,6.56,1.82,RAW VALUES,165,245,340,419,444,498,660,655,2625,729,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:48,BASIC COUNTS,0.41,0.61,0.85,1.04,1.1,1.24,1.64,1.63,6.53,1.82,RAW VALUES,165,244,339,418,442,495,657,652,2615,727,LED OFF
LED ON,2023/7/21 (Friday) ,12:15:50,BASIC COUNTS,0.41,0.6,0.83,1.03,1.09,1.22,1.62,1.61,6.46,1.8,RAW VALUES,163,241,334,413,437,490,650,646,2588,722,LED OFF
