LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/19 (Wednesday) ,13:21:25,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25693,37737,51814,63975,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:27,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25799,37876,51980,64235,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:29,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25805,37896,52010,64246,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:30,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25768,37865,51937,64233,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:32,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25787,37873,51969,64210,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:34,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25767,37844,51942,64172,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:35,BASIC COUNTS,0.36,0.53,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25723,37780,51874,64083,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:37,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25665,37692,51749,63928,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:38,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25650,37680,51697,63869,65535,65535,65535,65535,65535,65535,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:21:40,BASIC COUNTS,0.36,0.52,0.72,0.89,0.91,0.91,0.91,0.91,0.91,0.91,RAW VALUES,25590,37584,51609,63720,65535,65535,65535,65535,65535,65535,LED OFF
