LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/21 (Friday) ,14:25:18,BASIC COUNTS,0.39,0.58,0.81,1.01,1.07,1.21,1.62,1.59,6.65,1.77,RAW VALUES,158,234,326,404,429,484,647,638,2663,708,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:19,BASIC COUNTS,0.39,0.58,0.82,1.01,1.07,1.21,1.62,1.59,6.65,1.77,RAW VALUES,158,234,327,405,429,484,647,638,2662,707,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:20,BASIC COUNTS,0.39,0.59,0.82,1.01,1.07,1.21,1.62,1.6,6.65,1.77,RAW VALUES,158,235,327,406,430,485,648,639,2664,708,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:21,BASIC COUNTS,0.39,0.59,0.82,1.01,1.08,1.21,1.62,1.6,6.67,1.78,RAW VALUES,158,235,328,406,431,486,649,641,2670,711,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:23,BASIC COUNTS,0.39,0.59,0.82,1.01,1.07,1.21,1.62,1.6,6.66,1.77,RAW VALUES,158,235,327,406,430,485,648,639,2666,709,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:24,BASIC COUNTS,0.39,0.59,0.82,1.01,1.07,1.21,1.62,1.6,6.66,1.77,RAW VALUES,158,235,327,406,430,485,648,639,2665,709,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:25,BASIC COUNTS,0.39,0.58,0.82,1.01,1.07,1.21,1.61,1.59,6.64,1.77,RAW VALUES,158,234,327,405,429,483,646,637,2658,707,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:27,BASIC COUNTS,0.39,0.58,0.81,1.01,1.07,1.21,1.61,1.59,6.63,1.76,RAW VALUES,158,234,326,404,428,483,645,636,2655,706,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:28,BASIC COUNTS,0.39,0.58,0.81,1.01,1.07,1.2,1.61,1.59,6.62,1.76,RAW VALUES,157,234,326,404,428,482,644,635,2651,705,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:29,BASIC COUNTS,0.39,0.58,0.81,1.01,1.07,1.2,1.61,1.59,6.61,1.76,RAW VALUES,157,233,325,403,427,482,644,635,2648,705,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:30,BASIC COUNTS,0.39,0.58,0.81,1.01,1.07,1.2,1.61,1.58,6.61,1.76,RAW VALUES,157,233,325,403,427,481,643,634,2646,704,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:32,BASIC COUNTS,0.39,0.58,0.81,1,1.06,1.2,1.6,1.58,6.6,1.76,RAW VALUES,157,233,324,402,426,481,642,634,2643,703,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:33,BASIC COUNTS,0.39,0.58,0.81,1,1.06,1.2,1.6,1.58,6.59,1.75,RAW VALUES,156,232,323,401,425,480,641,633,2637,702,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:34,BASIC COUNTS,0.23,0.35,0.48,0.6,1.06,1.2,1.6,1.58,6.57,1.75,RAW VALUES,94,139,193,239,424,479,640,632,2631,700,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:36,BASIC COUNTS,0.39,0.58,0.8,1,1.06,1.19,1.59,1.57,6.55,1.74,RAW VALUES,155,231,321,399,423,477,638,629,2621,698,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:37,BASIC COUNTS,0.39,0.57,0.8,0.99,1.05,1.19,1.59,1.57,6.54,1.74,RAW VALUES,155,230,321,398,422,476,637,628,2618,697,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:38,BASIC COUNTS,0.39,0.57,0.8,0.99,1.05,1.18,1.58,1.56,6.51,1.73,RAW VALUES,155,230,320,397,420,474,634,625,2606,693,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:39,BASIC COUNTS,0.38,0.57,0.79,0.98,1.03,1.16,1.56,1.54,6.41,1.7,RAW VALUES,153,227,317,392,414,466,623,615,2565,681,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:41,BASIC COUNTS,0.35,0.53,0.73,0.91,0.96,1.08,1.44,1.42,5.93,1.57,RAW VALUES,142,211,293,363,383,431,575,568,2372,629,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:42,BASIC COUNTS,0.36,0.53,0.74,0.92,0.96,1.08,1.44,1.42,5.95,1.58,RAW VALUES,144,213,297,368,384,433,578,570,2383,632,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:43,BASIC COUNTS,0.31,0.46,0.64,0.8,0.87,0.98,1.31,1.29,5.42,1.43,RAW VALUES,126,186,258,319,350,394,526,518,2169,573,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:45,BASIC COUNTS,0.38,0.56,0.79,0.98,1.04,1.17,1.56,1.54,6.43,1.71,RAW VALUES,152,226,315,391,415,468,626,617,2573,685,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:46,BASIC COUNTS,0.38,0.57,0.79,0.98,1.04,1.18,1.57,1.55,6.47,1.72,RAW VALUES,154,228,317,394,418,471,630,621,2589,690,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:47,BASIC COUNTS,0.38,0.57,0.79,0.98,1.04,1.18,1.58,1.55,6.48,1.73,RAW VALUES,154,228,317,394,418,472,631,622,2593,691,LED OFF
LED ON,2023/7/21 (Friday) ,14:25:48,BASIC COUNTS,0.38,0.57,0.79,0.98,1.04,1.18,1.58,1.55,6.47,1.73,RAW VALUES,154,228,318,394,418,472,631,622,2591,692,LED OFF
