LED Status,Time,F1 415nm (Basic Count),F2 445nm (Basic Count),F3 480nm (Basic Count),F4 515nm (Basic Count),F5 555nm (Basic Count),F6 590nm (Basic Count),F7 630nm (Basic Count),F8 680nm (Basic Count),Clear (Basic Count),NIR (Basic Count),F1 415nm (Raw Value),F2 445nm (Raw Value),F3 480nm (Raw Value),F4 515nm (Raw Value),F5 555nm (Raw Value),F6 590nm (Raw Value),F7 630nm (Raw Value),F8 680nm (Raw Value),Clear (Raw Value),NIR (Raw Value),
LED ON,2023/7/12 (Wednesday) 10:52:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:52:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
