LED Status,Time,F1 415nm (Basic Count),F2 445nm (Basic Count),F3 480nm (Basic Count),F4 515nm (Basic Count),F5 555nm (Basic Count),F6 590nm (Basic Count),F7 630nm (Basic Count),F8 680nm (Basic Count),Clear (Basic Count),NIR (Basic Count),F1 415nm (Raw Value),F2 445nm (Raw Value),F3 480nm (Raw Value),F4 515nm (Raw Value),F5 555nm (Raw Value),F6 590nm (Raw Value),F7 630nm (Raw Value),F8 680nm (Raw Value),Clear (Raw Value),NIR (Raw Value),
LED ON,2023/7/12 (Wednesday) 10:45:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:46:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
