LED Status,Time,F1 415nm (Basic Count),F2 445nm (Basic Count),F3 480nm (Basic Count),F4 515nm (Basic Count),F5 555nm (Basic Count),F6 590nm (Basic Count),F7 630nm (Basic Count),F8 680nm (Basic Count),Clear (Basic Count),NIR (Basic Count),F1 415nm (Raw Value),F2 445nm (Raw Value),F3 480nm (Raw Value),F4 515nm (Raw Value),F5 555nm (Raw Value),F6 590nm (Raw Value),F7 630nm (Raw Value),F8 680nm (Raw Value),Clear (Raw Value),NIR (Raw Value),
LED ON,2023/7/12 (Wednesday) 10:5:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:5:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:6:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:7:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:7:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:7:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:7:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:7:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:7:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:7:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:7:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
