LED Status,Time,F1 415nm (Basic Count),F2 445nm (Basic Count),F3 480nm (Basic Count),F4 515nm (Basic Count),F5 555nm (Basic Count),F6 590nm (Basic Count),F7 630nm (Basic Count),F8 680nm (Basic Count),Clear (Basic Count),NIR (Basic Count),F1 415nm (Raw Value),F2 445nm (Raw Value),F3 480nm (Raw Value),F4 515nm (Raw Value),F5 555nm (Raw Value),F6 590nm (Raw Value),F7 630nm (Raw Value),F8 680nm (Raw Value),Clear (Raw Value),NIR (Raw Value),
LED ON,2023/7/12 (Wednesday) 10:35:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:35:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:35:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:35:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:35:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:35:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:35:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:36:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:37:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,LED OFF
