LED Status,Time,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/11 (Tuesday) 13:35:55,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:35:57,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:35:58,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:35:59,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:1,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:2,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:4,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:5,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:6,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:8,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:10,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:12,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:13,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:14,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:16,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:17,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:18,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:20,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:21,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:22,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:24,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:25,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:26,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:28,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:29,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:30,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:32,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:33,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:35,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:36,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:37,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:39,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:40,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:41,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:43,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:44,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:45,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:47,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:36:48,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
