LED Status,Time,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/11 (Tuesday) 13:42:33,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:35,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:36,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:37,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:39,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:40,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:41,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:43,0,0,0,0,0.01,0.01,0.01,0.01,0.04,0.02,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:44,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:45,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:47,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:48,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:50,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:51,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:52,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:54,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:55,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:42:56,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
