LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/20 (Thursday) ,14:10:47,BASIC COUNTS,0.16,0.24,0.33,0.4,0.03,0.03,0.04,0.05,0.26,0.09,RAW VALUES,11602,17064,23636,28954,2394,2505,3161,3490,18384,6159,LED OFF
LED ON,2023/7/20 (Thursday) ,14:10:48,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.16,0.06,RAW VALUES,861,1158,1360,1481,1406,1444,1788,2031,11485,4062,LED OFF
LED ON,2023/7/20 (Thursday) ,14:10:50,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.14,0.04,RAW VALUES,823,1110,1293,1383,1288,1297,1584,1711,9926,3149,LED OFF
LED ON,2023/7/20 (Thursday) ,14:10:52,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.15,0.04,RAW VALUES,932,1260,1476,1578,1461,1462,1788,1870,10707,3034,LED OFF
LED ON,2023/7/20 (Thursday) ,14:10:53,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.13,0.03,RAW VALUES,849,1149,1333,1408,1268,1254,1526,1576,9090,2374,LED OFF
LED ON,2023/7/20 (Thursday) ,14:10:55,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.03,RAW VALUES,842,1136,1315,1381,1269,1243,1500,1507,8745,2036,LED OFF
LED ON,2023/7/20 (Thursday) ,14:10:56,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.12,0.03,RAW VALUES,893,1213,1423,1510,1324,1310,1595,1587,8923,1990,LED OFF
LED ON,2023/7/20 (Thursday) ,14:10:58,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.13,0.03,RAW VALUES,867,1179,1378,1458,1377,1350,1634,1598,9059,1870,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:00,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.14,0.03,RAW VALUES,990,1347,1570,1657,1548,1517,1836,1779,10060,2014,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:01,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.14,0.03,RAW VALUES,989,1341,1560,1638,1493,1453,1745,1701,9794,1990,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:03,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.14,0.03,RAW VALUES,986,1338,1557,1639,1515,1479,1781,1741,9987,2084,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:05,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.15,0.03,RAW VALUES,1002,1359,1587,1680,1566,1541,1866,1859,10546,2398,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:06,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.16,0.04,RAW VALUES,1033,1401,1643,1755,1564,1557,1902,1983,11200,2990,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:08,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.17,0.05,RAW VALUES,1019,1379,1620,1737,1653,1676,2074,2203,12184,3540,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:10,BASIC COUNTS,0.01,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.17,0.05,RAW VALUES,1049,1423,1670,1798,1669,1697,2101,2234,12373,3682,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:11,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.19,0.06,RAW VALUES,1048,1419,1665,1796,1770,1801,2223,2379,13368,4176,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:13,BASIC COUNTS,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.17,0.06,RAW VALUES,925,1252,1474,1603,1519,1571,1958,2194,12262,4332,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:15,BASIC COUNTS,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.21,0.07,RAW VALUES,1093,1477,1736,1887,1883,1935,2408,2653,14873,5070,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:16,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.22,0.08,RAW VALUES,1170,1579,1856,2012,1941,2005,2494,2778,15599,5482,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:18,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.23,0.08,RAW VALUES,1204,1628,1919,2086,1998,2072,2584,2888,16178,5776,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:20,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.23,0.08,RAW VALUES,1291,1748,2075,2268,2132,2212,2766,3049,16789,5784,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:21,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.23,0.08,RAW VALUES,1240,1681,1993,2185,2064,2149,2692,2984,16427,5756,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:23,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1137,1538,1829,2010,1950,2045,2574,2894,15813,5712,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:25,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1194,1619,1922,2106,1977,2064,2591,2896,15900,5684,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:26,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1183,1600,1894,2072,1979,2061,2581,2882,15887,5640,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:28,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1168,1582,1871,2050,1951,2033,2545,2850,15766,5668,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:29,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1171,1586,1877,2056,1983,2068,2593,2895,16018,5756,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:31,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1193,1613,1912,2093,1998,2076,2594,2883,15974,5654,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:33,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1195,1617,1916,2100,2003,2083,2607,2900,16048,5700,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:34,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1192,1616,1912,2093,1994,2074,2592,2885,15993,5688,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:36,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1149,1555,1851,2034,1963,2056,2579,2896,15970,5808,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:38,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.22,0.08,RAW VALUES,1189,1610,1911,2090,1987,2076,2602,2902,15988,5708,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:39,BASIC COUNTS,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.25,0.09,RAW VALUES,1363,1845,2187,2395,2298,2373,2961,3245,17939,6158,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:41,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.23,0.08,RAW VALUES,1265,1712,2030,2225,2118,2199,2749,3042,16880,5954,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:43,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.23,0.08,RAW VALUES,1219,1648,1955,2136,2034,2107,2625,2902,16251,5748,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:44,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.23,0.08,RAW VALUES,1230,1666,1971,2155,2057,2133,2660,2942,16442,5832,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:46,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.23,0.08,RAW VALUES,1236,1672,1981,2162,2053,2128,2648,2927,16393,5798,LED OFF
LED ON,2023/7/20 (Thursday) ,14:11:48,BASIC COUNTS,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.23,0.08,RAW VALUES,1197,1620,1924,2110,2062,2145,2678,2980,16624,5983,LED OFF
