LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/21 (Friday) ,12:24:57,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.95,0.29,RAW VALUES,25,37,47,57,59,65,84,85,381,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:24:58,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.22,0.97,0.3,RAW VALUES,26,37,48,58,60,66,86,88,390,119,LED OFF
LED ON,2023/7/21 (Friday) ,12:24:59,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.22,0.96,0.29,RAW VALUES,26,37,48,58,60,65,85,87,386,118,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:01,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.95,0.29,RAW VALUES,25,36,47,57,59,64,83,85,379,116,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:02,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.17,0.21,0.22,0.98,0.3,RAW VALUES,26,38,49,59,61,67,86,88,393,120,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:03,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.95,0.29,RAW VALUES,25,37,48,58,59,65,84,86,381,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:04,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.16,0.2,0.21,0.92,0.28,RAW VALUES,25,36,46,55,57,63,81,83,370,114,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:06,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.16,0.2,0.21,0.93,0.29,RAW VALUES,25,36,46,56,58,63,82,84,374,115,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:07,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.16,0.2,0.21,0.93,0.29,RAW VALUES,25,36,46,56,58,63,82,84,374,115,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:08,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.16,0.2,0.21,0.92,0.28,RAW VALUES,25,36,46,56,57,63,81,83,370,113,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:10,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.96,0.29,RAW VALUES,25,37,48,58,59,65,84,86,383,116,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:11,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.96,0.29,RAW VALUES,26,37,48,59,60,66,85,87,386,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:12,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.96,0.29,RAW VALUES,26,37,48,59,60,66,85,87,386,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:13,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.97,0.29,RAW VALUES,26,38,48,59,60,66,86,87,389,118,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:15,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.17,0.21,0.22,0.98,0.3,RAW VALUES,26,38,49,59,61,67,86,88,392,119,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:16,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.17,0.22,0.22,0.98,0.3,RAW VALUES,26,38,49,59,61,67,87,88,393,119,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:17,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.17,0.22,0.22,0.99,0.3,RAW VALUES,26,38,49,60,61,67,87,89,395,120,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:19,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.17,0.22,0.22,0.98,0.3,RAW VALUES,26,38,49,60,61,67,87,88,393,119,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:20,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.96,0.29,RAW VALUES,26,37,48,58,60,65,85,86,385,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:21,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.97,0.29,RAW VALUES,26,38,49,59,60,66,86,87,389,118,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:22,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.97,0.29,RAW VALUES,26,38,49,59,61,66,86,88,390,118,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:24,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.97,0.29,RAW VALUES,26,38,48,59,60,66,85,87,387,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:25,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.95,0.29,RAW VALUES,26,37,48,58,59,65,84,86,382,116,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:26,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.96,0.29,RAW VALUES,26,37,48,58,60,65,84,86,383,116,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:28,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.97,0.29,RAW VALUES,26,38,49,59,60,66,85,87,387,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:29,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.95,0.29,RAW VALUES,26,37,48,58,59,65,84,85,380,115,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:30,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.96,0.29,RAW VALUES,26,37,48,58,60,66,85,86,385,116,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:31,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.97,0.29,RAW VALUES,26,38,49,59,60,66,86,87,388,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:33,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.17,0.22,0.22,0.98,0.3,RAW VALUES,26,38,49,60,61,67,87,88,393,119,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:34,BASIC COUNTS,0.06,0.09,0.12,0.15,0.15,0.16,0.21,0.22,0.97,0.29,RAW VALUES,26,38,49,59,61,66,86,87,389,117,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:35,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.95,0.29,RAW VALUES,26,37,48,58,59,65,84,85,380,115,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:37,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.15,0.2,0.2,0.9,0.27,RAW VALUES,24,35,45,55,56,62,80,81,362,110,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:38,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.16,0.2,0.2,0.92,0.27,RAW VALUES,25,36,46,56,57,63,81,82,367,110,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:39,BASIC COUNTS,0.06,0.09,0.12,0.14,0.14,0.16,0.2,0.21,0.93,0.28,RAW VALUES,25,36,47,57,58,64,82,84,373,112,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:40,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.95,0.28,RAW VALUES,26,37,48,58,59,65,84,85,379,113,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:42,BASIC COUNTS,0.06,0.09,0.12,0.14,0.14,0.16,0.2,0.21,0.93,0.28,RAW VALUES,25,36,47,57,58,63,82,83,371,111,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:43,BASIC COUNTS,0.06,0.09,0.12,0.14,0.14,0.16,0.2,0.21,0.93,0.28,RAW VALUES,25,36,47,57,58,64,82,84,372,111,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:44,BASIC COUNTS,0.06,0.09,0.12,0.14,0.14,0.16,0.2,0.21,0.92,0.27,RAW VALUES,25,36,47,56,57,63,81,83,367,109,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:46,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.15,0.2,0.2,0.9,0.27,RAW VALUES,24,35,45,55,56,62,80,81,360,108,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:47,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.15,0.2,0.2,0.91,0.27,RAW VALUES,25,35,46,55,57,62,80,82,364,108,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:48,BASIC COUNTS,0.06,0.09,0.12,0.14,0.14,0.16,0.2,0.21,0.92,0.27,RAW VALUES,25,36,47,56,58,63,82,83,370,110,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:49,BASIC COUNTS,0.06,0.09,0.12,0.14,0.15,0.16,0.21,0.21,0.93,0.27,RAW VALUES,25,37,47,57,59,64,83,84,373,110,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:51,BASIC COUNTS,0.06,0.09,0.12,0.14,0.14,0.16,0.2,0.21,0.92,0.27,RAW VALUES,25,36,47,57,58,64,82,83,369,109,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:52,BASIC COUNTS,0.06,0.09,0.12,0.14,0.14,0.16,0.21,0.21,0.93,0.27,RAW VALUES,25,37,47,57,58,64,83,84,372,109,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:53,BASIC COUNTS,0.06,0.09,0.12,0.14,0.14,0.16,0.2,0.21,0.92,0.27,RAW VALUES,25,36,47,57,58,63,82,83,368,108,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:55,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.15,0.2,0.2,0.9,0.26,RAW VALUES,24,35,45,55,56,62,80,81,359,106,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:56,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.15,0.2,0.2,0.9,0.26,RAW VALUES,25,36,46,55,56,62,80,81,360,106,LED OFF
LED ON,2023/7/21 (Friday) ,12:25:57,BASIC COUNTS,0.06,0.09,0.11,0.14,0.14,0.15,0.2,0.2,0.89,0.26,RAW VALUES,24,35,45,55,56,61,79,80,356,105,LED OFF
