LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/19 (Wednesday) ,13:30:33,BASIC COUNTS,0.16,0.24,0.33,0.4,0.16,0.16,0.21,0.21,0.69,0.22,RAW VALUES,11737,17215,23505,28800,11173,11796,14991,14897,49787,15701,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:34,BASIC COUNTS,0.04,0.06,0.07,0.09,0.08,0.09,0.11,0.12,0.4,0.14,RAW VALUES,2823,4072,5264,6130,6005,6346,8096,8357,28634,10370,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:36,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.11,0.38,0.14,RAW VALUES,2643,3802,4903,5715,5697,6033,7703,8009,27389,10190,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:38,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.11,0.39,0.14,RAW VALUES,2651,3814,4909,5711,5755,6095,7776,8106,27782,10370,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:39,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.11,0.38,0.14,RAW VALUES,2642,3804,4905,5712,5671,6015,7682,7975,27337,10200,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:41,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.09,0.11,0.11,0.39,0.14,RAW VALUES,2694,3878,5000,5822,5866,6204,7913,8188,28057,10341,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:43,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.1,0.11,0.37,0.14,RAW VALUES,2614,3762,4849,5653,5479,5816,7438,7788,26781,10330,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:44,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.09,0.11,0.11,0.39,0.15,RAW VALUES,2683,3862,4977,5799,5842,6191,7911,8208,28050,10460,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:46,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.11,0.38,0.14,RAW VALUES,2574,3701,4771,5553,5565,5923,7607,7941,27010,10176,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:48,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.11,0.38,0.14,RAW VALUES,2562,3683,4742,5517,5666,6021,7711,8044,27484,10388,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:49,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.1,0.11,0.37,0.14,RAW VALUES,2599,3738,4816,5609,5403,5731,7318,7664,26426,10139,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:51,BASIC COUNTS,0.03,0.05,0.06,0.07,0.08,0.08,0.11,0.11,0.39,0.15,RAW VALUES,2428,3489,4502,5264,5602,6000,7724,8102,27768,10889,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:53,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.11,0.39,0.15,RAW VALUES,2646,3811,4906,5697,5752,6092,7777,8112,27929,10658,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:54,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.11,0.38,0.15,RAW VALUES,2639,3794,4886,5695,5718,6045,7708,8023,27669,10487,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:56,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.08,0.11,0.11,0.38,0.14,RAW VALUES,2614,3758,4838,5640,5677,5999,7650,7969,27415,10362,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:30:57,BASIC COUNTS,0.04,0.06,0.07,0.08,0.08,0.09,0.11,0.12,0.4,0.14,RAW VALUES,2746,3955,5104,5945,6109,6445,8205,8396,28656,10256,LED OFF
