LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/19 (Wednesday) ,13:33:37,BASIC COUNTS,0.06,0.09,0.12,0.14,0.11,0.11,0.15,0.15,0.48,0.16,RAW VALUES,4561,6622,8628,10066,7816,8249,10529,10499,34822,11362,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:39,BASIC COUNTS,0.04,0.06,0.08,0.09,0.09,0.1,0.12,0.13,0.43,0.15,RAW VALUES,3127,4518,5856,6819,6662,7019,8920,9112,30815,10903,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:41,BASIC COUNTS,0.04,0.06,0.07,0.08,0.08,0.09,0.11,0.12,0.4,0.14,RAW VALUES,2793,4021,5186,6039,6085,6415,8160,8412,28445,10368,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:42,BASIC COUNTS,0.04,0.06,0.07,0.08,0.08,0.09,0.11,0.12,0.39,0.14,RAW VALUES,2789,4013,5179,6028,6075,6398,8135,8380,28314,10244,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:44,BASIC COUNTS,0.04,0.06,0.07,0.08,0.08,0.09,0.11,0.12,0.39,0.14,RAW VALUES,2787,4017,5180,6026,6042,6367,8096,8337,28099,10119,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:46,BASIC COUNTS,0.04,0.06,0.07,0.08,0.08,0.09,0.11,0.12,0.39,0.14,RAW VALUES,2797,4028,5195,6042,6069,6393,8131,8388,28288,10235,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:47,BASIC COUNTS,0.04,0.06,0.07,0.08,0.08,0.09,0.11,0.12,0.39,0.14,RAW VALUES,2785,4009,5173,6017,6085,6410,8156,8411,28343,10300,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:49,BASIC COUNTS,0.04,0.06,0.07,0.08,0.08,0.09,0.11,0.12,0.39,0.14,RAW VALUES,2784,4006,5167,6010,6055,6382,8122,8382,28245,10298,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:50,BASIC COUNTS,0.04,0.06,0.07,0.09,0.09,0.09,0.12,0.12,0.4,0.14,RAW VALUES,2880,4151,5363,6233,6226,6549,8332,8552,28616,10177,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:52,BASIC COUNTS,0.04,0.06,0.07,0.09,0.09,0.09,0.12,0.12,0.4,0.15,RAW VALUES,2863,4127,5326,6196,6241,6570,8352,8606,29010,10533,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:54,BASIC COUNTS,0.04,0.06,0.07,0.08,0.08,0.09,0.11,0.11,0.39,0.14,RAW VALUES,2794,4020,5181,6033,5954,6270,7971,8244,27814,10295,LED OFF
LED ON,2023/7/19 (Wednesday) ,13:33:55,BASIC COUNTS,0.04,0.05,0.07,0.08,0.08,0.09,0.11,0.11,0.38,0.14,RAW VALUES,2721,3918,5048,5871,5919,6232,7933,8204,27623,10177,LED OFF
