LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/21 (Friday) ,12:21:56,BASIC COUNTS,0.07,0.11,0.14,0.17,0.18,0.19,0.25,0.25,1.1,0.32,RAW VALUES,30,44,57,69,71,78,101,102,442,127,LED OFF
LED ON,2023/7/21 (Friday) ,12:21:57,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.23,0.24,1.03,0.3,RAW VALUES,28,40,53,64,66,72,94,95,413,120,LED OFF
LED ON,2023/7/21 (Friday) ,12:21:58,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,65,67,74,96,97,420,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:00,BASIC COUNTS,0.07,0.1,0.14,0.17,0.17,0.19,0.25,0.25,1.08,0.31,RAW VALUES,29,42,55,67,69,76,99,100,433,126,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:01,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.19,0.24,0.24,1.07,0.31,RAW VALUES,29,42,54,66,68,75,97,98,428,125,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:02,BASIC COUNTS,0.07,0.1,0.14,0.16,0.17,0.19,0.25,0.25,1.08,0.32,RAW VALUES,29,42,55,66,69,76,99,100,434,127,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:04,BASIC COUNTS,0.07,0.1,0.14,0.17,0.17,0.19,0.25,0.25,1.09,0.32,RAW VALUES,29,42,55,67,69,76,99,101,437,129,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:05,BASIC COUNTS,0.07,0.11,0.14,0.17,0.17,0.19,0.25,0.25,1.1,0.33,RAW VALUES,30,43,56,68,70,77,100,102,442,131,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:06,BASIC COUNTS,0.07,0.1,0.14,0.17,0.17,0.19,0.24,0.25,1.09,0.32,RAW VALUES,29,42,55,67,69,76,98,100,436,130,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:07,BASIC COUNTS,0.07,0.1,0.14,0.16,0.17,0.19,0.24,0.25,1.09,0.32,RAW VALUES,29,42,55,66,69,76,98,100,436,130,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:09,BASIC COUNTS,0.07,0.1,0.14,0.17,0.17,0.19,0.25,0.25,1.09,0.33,RAW VALUES,29,42,55,67,69,76,99,100,437,131,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:10,BASIC COUNTS,0.07,0.1,0.14,0.17,0.17,0.19,0.24,0.25,1.09,0.32,RAW VALUES,29,42,55,67,69,76,98,100,435,130,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:11,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.07,0.32,RAW VALUES,28,41,54,65,67,74,96,98,427,127,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:13,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.07,0.32,RAW VALUES,28,41,54,65,67,74,96,98,428,127,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:14,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.19,0.24,0.25,1.08,0.32,RAW VALUES,29,42,54,66,68,75,97,99,432,128,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:15,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.19,0.24,0.24,1.07,0.32,RAW VALUES,29,41,54,66,68,75,97,98,429,128,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:16,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,53,65,67,74,96,97,424,126,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:18,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,65,67,74,96,97,422,125,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:19,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.23,0.23,1.03,0.3,RAW VALUES,27,40,52,63,65,71,93,94,411,122,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:20,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,64,66,73,95,96,419,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:22,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,40,53,64,66,73,95,96,419,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:23,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.23,0.23,1.03,0.31,RAW VALUES,28,40,52,63,65,72,93,94,413,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:24,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.23,0.24,1.04,0.31,RAW VALUES,28,40,52,64,66,72,94,95,416,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:25,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.23,0.24,1.03,0.3,RAW VALUES,28,40,52,64,65,72,93,95,414,122,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:27,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,53,65,67,74,96,97,423,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:28,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,53,65,67,74,96,97,424,125,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:29,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,53,65,67,74,96,97,423,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:31,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,64,66,73,95,96,420,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:32,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,65,67,74,95,97,422,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:33,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,65,67,73,95,97,422,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:34,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,54,65,67,74,96,97,424,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:36,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,54,65,67,74,96,98,425,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:37,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,54,65,67,74,96,97,423,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:38,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,54,65,67,74,96,98,425,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:40,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,29,41,54,65,67,74,96,98,425,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:41,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,65,67,74,96,97,422,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:42,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,54,65,67,74,96,97,425,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:43,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.07,0.31,RAW VALUES,29,41,54,66,68,74,97,98,427,125,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:45,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,54,65,67,74,96,97,423,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:46,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,65,66,73,95,96,421,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:47,BASIC COUNTS,0.07,0.1,0.13,0.16,0.16,0.18,0.23,0.24,1.04,0.3,RAW VALUES,28,40,53,64,66,72,94,95,416,122,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:49,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,53,65,67,73,95,96,421,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:50,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,54,65,67,74,96,97,422,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:51,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,54,65,67,74,96,97,423,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:52,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.05,0.31,RAW VALUES,28,41,54,65,67,74,96,97,422,123,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:54,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,28,41,54,65,67,74,96,97,423,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:55,BASIC COUNTS,0.07,0.1,0.13,0.16,0.17,0.18,0.24,0.24,1.06,0.31,RAW VALUES,29,41,54,65,67,74,96,98,425,124,LED OFF
LED ON,2023/7/21 (Friday) ,12:22:56,BASIC COUNTS,0.07,0.1,0.14,0.16,0.17,0.19,0.24,0.25,1.08,0.31,RAW VALUES,29,42,55,66,68,75,98,99,431,126,LED OFF
